,abv,ibu,id,name,style,brewery_id,ounces,brewery_name,city,state,city-state,latitude,longitude,norcal
21,9.9,92.0,1036,Lower De Boom,American Barleywine,368,8.4,21st Amendment Brewery,San Francisco,CA,"San Francisco, CA",37.7792808,-122.4192362,True
22,7.9,45.0,1024,Fireside Chat,Winter Warmer,368,12.0,21st Amendment Brewery,San Francisco,CA,"San Francisco, CA",37.7792808,-122.4192362,True
24,4.4,42.0,876,Bitter American,American Pale Ale (APA),368,12.0,21st Amendment Brewery,San Francisco,CA,"San Francisco, CA",37.7792808,-122.4192362,True
25,4.9,17.0,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0,21st Amendment Brewery,San Francisco,CA,"San Francisco, CA",37.7792808,-122.4192362,True
26,4.9,17.0,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0,21st Amendment Brewery,San Francisco,CA,"San Francisco, CA",37.7792808,-122.4192362,True
27,4.9,17.0,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,12.0,21st Amendment Brewery,San Francisco,CA,"San Francisco, CA",37.7792808,-122.4192362,True
28,7.0,70.0,799,21st Amendment IPA (2006),American IPA,368,12.0,21st Amendment Brewery,San Francisco,CA,"San Francisco, CA",37.7792808,-122.4192362,True
29,7.0,70.0,797,Brew Free! or Die IPA (2008),American IPA,368,12.0,21st Amendment Brewery,San Francisco,CA,"San Francisco, CA",37.7792808,-122.4192362,True
30,7.0,70.0,796,Brew Free! or Die IPA (2009),American IPA,368,12.0,21st Amendment Brewery,San Francisco,CA,"San Francisco, CA",37.7792808,-122.4192362,True
31,8.5,52.0,531,Special Edition: Allies Win The War!,English Strong Ale,368,12.0,21st Amendment Brewery,San Francisco,CA,"San Francisco, CA",37.7792808,-122.4192362,True
32,9.7,94.0,432,Hop Crisis,American Double / Imperial IPA,368,12.0,21st Amendment Brewery,San Francisco,CA,"San Francisco, CA",37.7792808,-122.4192362,True
33,4.4,42.0,353,Bitter American (2011),American Pale Ale (APA),368,12.0,21st Amendment Brewery,San Francisco,CA,"San Francisco, CA",37.7792808,-122.4192362,True
34,7.9,45.0,321,Fireside Chat (2010),Winter Warmer,368,12.0,21st Amendment Brewery,San Francisco,CA,"San Francisco, CA",37.7792808,-122.4192362,True
35,6.8,65.0,173,Back in Black,American Black Ale,368,12.0,21st Amendment Brewery,San Francisco,CA,"San Francisco, CA",37.7792808,-122.4192362,True
36,8.3,35.0,11,Monk's Blood,Belgian Dark Ale,368,12.0,21st Amendment Brewery,San Francisco,CA,"San Francisco, CA",37.7792808,-122.4192362,True
37,7.0,65.0,10,Brew Free! or Die IPA,American IPA,368,12.0,21st Amendment Brewery,San Francisco,CA,"San Francisco, CA",37.7792808,-122.4192362,True
38,4.9,17.0,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,12.0,21st Amendment Brewery,San Francisco,CA,"San Francisco, CA",37.7792808,-122.4192362,True
105,5.7,13.0,1520,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.0,Anderson Valley Brewing Company,Boonville,CA,"Boonville, CA",39.0091667,-123.366111,True
106,5.6,4.0,1350,Summer Solstice,Cream Ale,171,12.0,Anderson Valley Brewing Company,Boonville,CA,"Boonville, CA",39.0091667,-123.366111,True
107,7.0,80.0,1327,Hop Ottin' IPA,American IPA,171,12.0,Anderson Valley Brewing Company,Boonville,CA,"Boonville, CA",39.0091667,-123.366111,True
108,5.8,15.0,1326,Boont Amber Ale,American Amber / Red Ale,171,12.0,Anderson Valley Brewing Company,Boonville,CA,"Boonville, CA",39.0091667,-123.366111,True
109,5.7,13.0,1221,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.0,Anderson Valley Brewing Company,Boonville,CA,"Boonville, CA",39.0091667,-123.366111,True
110,5.5,25.0,1217,El Steinber Dark Lager,Vienna Lager,171,16.0,Anderson Valley Brewing Company,Boonville,CA,"Boonville, CA",39.0091667,-123.366111,True
111,5.8,15.0,811,Boont Amber Ale (2010),American Amber / Red Ale,171,12.0,Anderson Valley Brewing Company,Boonville,CA,"Boonville, CA",39.0091667,-123.366111,True
